SUB_DS_ID,YEAR,SEX,AGEBAND,POP,DEATHS
ITE34,2005,1,1,16045,
ITE34,2005,1,2,20165,
ITE34,2005,1,3,10686,
ITE34,2005,1,4,9593,
ITE34,2005,1,5,4122,
ITE34,2005,1,6,3159,
ITE34,2005,1,7,4557,
ITE34,2005,1,8,3308,
ITE34,2005,2,1,15182,
ITE34,2005,2,2,20243,
ITE34,2005,2,3,11430,
ITE34,2005,2,4,9856,
ITE34,2005,2,5,4175,
ITE34,2005,2,6,3239,
ITE34,2005,2,7,4895,
ITE34,2005,2,8,4919,
ITE34,2006,1,1,16158,
ITE34,2006,1,2,20201,
ITE34,2006,1,3,10836,
ITE34,2006,1,4,9908,
ITE34,2006,1,5,4254,
ITE34,2006,1,6,3277,
ITE34,2006,1,7,4726,
ITE34,2006,1,8,3402,
ITE34,2006,2,1,15387,
ITE34,2006,2,2,20718,
ITE34,2006,2,3,11718,
ITE34,2006,2,4,10289,
ITE34,2006,2,5,4356,
ITE34,2006,2,6,3376,
ITE34,2006,2,7,5070,
ITE34,2006,2,8,4965,
ITE34,2007,1,1,16154,
ITE34,2007,1,2,20361,
ITE34,2007,1,3,10786,
ITE34,2007,1,4,10128,
ITE34,2007,1,5,4268,
ITE34,2007,1,6,3458,
ITE34,2007,1,7,4889,
ITE34,2007,1,8,3513,
ITE34,2007,2,1,15384,
ITE34,2007,2,2,20761,
ITE34,2007,2,3,11699,
ITE34,2007,2,4,10570,
ITE34,2007,2,5,4371,
ITE34,2007,2,6,3569,
ITE34,2007,2,7,5243,
ITE34,2007,2,8,5042,
ITE34,2008,1,1,16179,
ITE34,2008,1,2,20554,
ITE34,2008,1,3,10656,
ITE34,2008,1,4,10329,
ITE34,2008,1,5,4279,
ITE34,2008,1,6,3688,
ITE34,2008,1,7,5018,
ITE34,2008,1,8,3608,
ITE34,2008,2,1,15397,
ITE34,2008,2,2,20798,
ITE34,2008,2,3,11595,
ITE34,2008,2,4,10836,
ITE34,2008,2,5,4394,
ITE34,2008,2,6,3810,
ITE34,2008,2,7,5366,
ITE34,2008,2,8,5118,
ITE34,2009,1,1,16222,
ITE34,2009,1,2,20894,
ITE34,2009,1,3,10520,
ITE34,2009,1,4,10496,
ITE34,2009,1,5,4319,
ITE34,2009,1,6,3866,
ITE34,2009,1,7,5186,
ITE34,2009,1,8,3709,
ITE34,2009,2,1,15419,
ITE34,2009,2,2,20951,
ITE34,2009,2,3,11489,
ITE34,2009,2,4,11043,
ITE34,2009,2,5,4459,
ITE34,2009,2,6,4000,
ITE34,2009,2,7,5534,
ITE34,2009,2,8,5188,
ITE34,2010,1,1,16277,
ITE34,2010,1,2,21315,
ITE34,2010,1,3,10384,
ITE34,2010,1,4,10608,
ITE34,2010,1,5,4385,
ITE34,2010,1,6,4017,
ITE34,2010,1,7,5377,
ITE34,2010,1,8,3820,
ITE34,2010,2,1,15477,
ITE34,2010,2,2,21189,
ITE34,2010,2,3,11380,
ITE34,2010,2,4,11200,
ITE34,2010,2,5,4546,
ITE34,2010,2,6,4162,
ITE34,2010,2,7,5743,
ITE34,2010,2,8,5265,
ITE34,2011,1,1,16269,
ITE34,2011,1,2,21638,
ITE34,2011,1,3,10204,
ITE34,2011,1,4,10642,
ITE34,2011,1,5,4480,
ITE34,2011,1,6,4120,
ITE34,2011,1,7,5606,
ITE34,2011,1,8,3933,
ITE34,2011,2,1,15480,
ITE34,2011,2,2,21337,
ITE34,2011,2,3,11210,
ITE34,2011,2,4,11285,
ITE34,2011,2,5,4659,
ITE34,2011,2,6,4279,
ITE34,2011,2,7,5975,
ITE34,2011,2,8,5352,
ITE34,2012,1,1,16239,
ITE34,2012,1,2,21865,
ITE34,2012,1,3,10029,
ITE34,2012,1,4,10633,
ITE34,2012,1,5,4580,
ITE34,2012,1,6,4134,
ITE34,2012,1,7,5910,
ITE34,2012,1,8,4055,
ITE34,2012,2,1,15442,
ITE34,2012,2,2,21407,
ITE34,2012,2,3,11024,
ITE34,2012,2,4,11331,
ITE34,2012,2,5,4788,
ITE34,2012,2,6,4297,
ITE34,2012,2,7,6290,
ITE34,2012,2,8,5446,
